"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2020","4,337","2,427","21.46","1,709","1,701","23,400","20,510","2,890","140","21.1","21.0","951","1,700"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2021","4,400","2,471","21.81","1,749","1,741","23,920","20,990","2,930","140","21.1","21.0","958","1,705"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2022","4,550","2,549","22.62","1,812","1,804","24,890","21,740","3,140","150","21.0","21.0","957","1,708"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2023","4,597","2,597","24.34","1,957","1,950","26,780","23,490","3,290","170","21.2","21.2","961","1,701"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2024","4,640","2,635","26.18","2,116","2,109","28,930","25,400","3,530","190","21.3","21.3","967","1,702"
"Total","Type of employment contract: part-time","Nationality: Dutch","A-U All economic activities","2025*","4,725","2,698","27.84","2,252","2,243","30,760","27,020","3,730","220","21.5","21.4","967","1,693"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2009","68","38","17.54","1,433","1,401","19,660","17,190","2,470","90","21.4","21.0","958","1,721"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2010 after change of method","63","35","18.50","1,464","1,431","20,320","17,570","2,750","100","20.9","20.4","928","1,697"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2011","66","37","18.92","1,538","1,493","21,700","18,450","3,250","100","21.2","20.7","947","1,710"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2012","65","36","19.60","1,582","1,539","21,990","18,990","3,000","110","21.3","20.8","942","1,698"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2013","64","35","20.04","1,605","1,575","22,080","19,260","2,830","110","21.3","20.9","943","1,696"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2014","62","35","20.43","1,667","1,634","22,930","20,010","2,920","110","21.5","21.1","960","1,705"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2015","65","37","20.97","1,729","1,696","24,020","20,750","3,270","100","21.8","21.4","970","1,708"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2016","65","37","20.85","1,723","1,694","24,090","20,680","3,410","100","21.8","21.5","975","1,716"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2017","69","40","20.77","1,733","1,709","24,070","20,800","3,260","110","22.0","21.7","988","1,728"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2018","70","40","20.63","1,697","1,678","23,340","20,360","2,970","110","21.8","21.5","976","1,718"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2019","75","43","20.92","1,738","1,720","24,110","20,860","3,250","110","21.9","21.7","987","1,731"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2020","66","38","21.63","1,835","1,817","25,840","22,010","3,830","120","22.4","22.2","1,008","1,730"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2021","69","41","21.91","1,871","1,852","26,010","22,450","3,560","120","22.4","22.2","1,014","1,736"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2022","80","46","22.22","1,862","1,844","25,910","22,340","3,570","110","22.0","21.8","996","1,739"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2023","86","49","23.82","2,000","1,983","27,710","24,000","3,710","120","22.1","21.9","999","1,732"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2024","92","53","25.29","2,118","2,102","29,030","25,420","3,610","120","22.1","21.9","997","1,732"
"Total","Type of employment contract: part-time","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2025*","99","57","26.40","2,210","2,188","30,400","26,520","3,870","130","22.1","21.9","995","1,723"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2009","56","32","11.18","997","953","13,330","11,970","1,360","10","23.0","22.3","1,022","1,777"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2010 after change of method","56","32","11.41","1,005","955","13,370","12,070","1,310","10","23.0","22.0","1,005","1,735"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2011","68","40","11.53","1,042","982","13,780","12,510","1,280","10","23.4","22.2","1,022","1,740"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2012","77","46","11.71","1,074","1,010","14,180","12,890","1,290","10","23.9","22.7","1,035","1,735"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2013","83","49","11.78","1,086","1,019","14,260","13,040","1,220","10","24.1","22.8","1,038","1,731"
